File,Date,Time,Image quality,Location,DateStart,Classifier,CommentsImages,EventStart,EventEnd,Duration,Species,DirectionTravel,Total,AdultFemale,AdultMale,AdultUnknown,Subadult,YLY,YOY,Folder
M0000101.JPG,20-Jul-09,1:51 AM,Ok,SW-E1,2009-07-20,SF,,,,,,,,,,,,,,E1
M0000201.JPG,21-Jul-09,8:05 AM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,1,,,,,,,E1
M0000301.JPG,23-Jul-09,8:08 PM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,1,,,,,,,E1
M0000401.JPG,23-Jul-09,8:08 PM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,1,,,,,,,E1
M0000501.JPG,24-Jul-09,9:03 AM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,1,,,,,,,E1
M0000601.JPG,24-Jul-09,9:03 AM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,1,,,,,,,E1
M0000701.JPG,24-Jul-09,7:46 PM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,1,,,,,,,E1
M0000801.JPG,25-Jul-09,8:10 AM,Ok,SW-E1,2009-07-20,SF,,,,,,,,,,,,,,E1
M0000901.JPG,25-Jul-09,12:56 PM,Ok,SW-E1,2009-07-20,SF,,,,,Bighorn Sheep,,4,,,,,,,E1
M0001001.JPG,25-Jul-09,12:56 PM,Ok,SW-E1,2009-07-20,SF,,,,,Bighorn Sheep,,4,,,,,,,E1
M0001101.JPG,25-Jul-09,12:56 PM,Ok,SW-E1,2009-07-20,SF,,,,,Bighorn Sheep,,4,,,,,,,E1
M0001201.JPG,25-Jul-09,12:56 PM,Ok,SW-E1,2009-07-20,SF,,,,,Bighorn Sheep,,4,,,,,,,E1
M0001301.JPG,25-Jul-09,12:56 PM,Ok,SW-E1,2009-07-20,SF,,,,,Bighorn Sheep,,4,,,,,,,E1
M0001401.JPG,25-Jul-09,12:56 PM,Ok,SW-E1,2009-07-20,SF,,,,,Bighorn Sheep,,4,,,,,,,E1
M0001501.JPG,25-Jul-09,12:56 PM,Ok,SW-E1,2009-07-20,SF,,,,,Bighorn Sheep,,4,,,,,,,E1
M0001601.JPG,25-Jul-09,12:57 PM,Ok,SW-E1,2009-07-20,SF,,,,,Bighorn Sheep,,4,,,,,,,E1
M0001701.JPG,25-Jul-09,12:57 PM,Ok,SW-E1,2009-07-20,SF,,,,,Bighorn Sheep,,4,,,,,,,E1
M0001801.JPG,25-Jul-09,12:57 PM,Ok,SW-E1,2009-07-20,SF,,,,,Bighorn Sheep,,4,,,,,,,E1
M0001901.JPG,25-Jul-09,12:57 PM,Ok,SW-E1,2009-07-20,SF,,,,,Bighorn Sheep,,4,,,,,,,E1
M0002001.JPG,27-Jul-09,8:29 AM,Ok,SW-E1,2009-07-20,SF,,,,,,,,,,,,,,E1
M0002101.JPG,27-Jul-09,8:45 AM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,1,,,,,,,E1
M0002201.JPG,27-Jul-09,9:15 AM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,1,,,,,,,E1
M0002301.JPG,27-Jul-09,9:15 AM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,1,,,,,,,E1
M0002401.JPG,28-Jul-09,8:23 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0002501.JPG,28-Jul-09,8:24 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0002601.JPG,28-Jul-09,8:24 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0002701.JPG,28-Jul-09,8:25 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0002801.JPG,28-Jul-09,8:25 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0002901.JPG,28-Jul-09,8:25 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0003001.JPG,28-Jul-09,8:26 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0003101.JPG,28-Jul-09,8:27 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0003201.JPG,28-Jul-09,8:27 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0003301.JPG,28-Jul-09,8:27 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0003401.JPG,28-Jul-09,8:27 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0003501.JPG,28-Jul-09,8:27 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0003601.JPG,28-Jul-09,8:28 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0003701.JPG,28-Jul-09,8:28 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0003801.JPG,28-Jul-09,8:28 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0003901.JPG,28-Jul-09,8:28 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0004001.JPG,28-Jul-09,8:28 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0004101.JPG,28-Jul-09,8:28 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0004201.JPG,28-Jul-09,8:29 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0004301.JPG,28-Jul-09,8:29 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0004401.JPG,28-Jul-09,8:29 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0004501.JPG,28-Jul-09,8:29 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0004601.JPG,28-Jul-09,8:29 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0004701.JPG,28-Jul-09,8:30 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0004801.JPG,28-Jul-09,8:30 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0004901.JPG,28-Jul-09,8:30 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0005001.JPG,28-Jul-09,8:31 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0005101.JPG,28-Jul-09,8:36 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0005201.JPG,28-Jul-09,8:37 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0005301.JPG,30-Jul-09,8:58 AM,Ok,SW-E1,2009-07-20,SF,,,,,,,,,,,,,,E1
M0005401.JPG,30-Jul-09,9:47 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0005501.JPG,30-Jul-09,9:47 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0005601.JPG,30-Jul-09,9:48 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0005701.JPG,30-Jul-09,9:48 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0005801.JPG,30-Jul-09,9:48 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0005901.JPG,30-Jul-09,9:48 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0006001.JPG,30-Jul-09,9:48 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0006101.JPG,30-Jul-09,9:52 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0006201.JPG,30-Jul-09,9:52 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0006301.JPG,30-Jul-09,9:52 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0006401.JPG,30-Jul-09,9:52 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0006501.JPG,30-Jul-09,9:52 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0006601.JPG,30-Jul-09,9:52 AM,Ok,SW-E1,2009-07-20,SF,,,,,Grizzly Bear,,1,,,,,,,E1
M0006701.JPG,31-Jul-09,8:22 AM,Ok,SW-E1,2009-07-20,SF,,,,,,,,,,,,,,E1
M0006801.JPG,31-Jul-09,12:26 PM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,1,,,,,,,E1
M0006901.JPG,31-Jul-09,12:26 PM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,1,,,,,,,E1
M0007001.JPG,31-Jul-09,12:26 PM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,1,,,,,,,E1
M0007101.JPG,31-Jul-09,6:48 PM,Ok,SW-E1,2009-07-20,SF,,,,,,,,,,,,,,E1
M0007201.JPG,31-Jul-09,6:48 PM,Ok,SW-E1,2009-07-20,SF,,,,,,,,,,,,,,E1
M0007301.JPG,31-Jul-09,7:33 PM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,1,,,,,,,E1
M0007401.JPG,31-Jul-09,8:06 PM,Ok,SW-E1,2009-07-20,SF,,,,,,,,,,,,,,E1
M0007501.JPG,31-Jul-09,8:06 PM,Ok,SW-E1,2009-07-20,SF,,,,,,,,,,,,,,E1
M0007601.JPG,31-Jul-09,8:07 PM,Ok,SW-E1,2009-07-20,SF,,,,,,,,,,,,,,E1
M0007701.JPG,31-Jul-09,8:07 PM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,1,,,,,,,E1
M0007801.JPG,02-Aug-09,2:18 AM,Ok,SW-E1,2009-07-20,SF,Looks like Woodrat,,,,Unknown,,1,,,,,,,E1
M0007901.JPG,02-Aug-09,10:55 AM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,1,,,,,,,E1
M0008001.JPG,02-Aug-09,10:59 AM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,1,,,,,,,E1
M0008101.JPG,04-Aug-09,1:03 PM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,1,,,,,,,E1
M0008201.JPG,04-Aug-09,1:03 PM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,2,,,,,,,E1
M0008301.JPG,04-Aug-09,1:04 PM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,2,,,,,,,E1
M0008401.JPG,04-Aug-09,1:04 PM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,2,,,,,,,E1
M0008501.JPG,05-Aug-09,10:53 AM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,1,,,,,,,E1
M0008601.JPG,05-Aug-09,10:54 AM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,1,,,,,,,E1
M0008701.JPG,05-Aug-09,10:54 AM,Ok,SW-E1,2009-07-20,SF,,,,,Marmot,,1,,,,,,,E1
M0008801.JPG,05-Aug-09,1:17 PM,Ok,SW-E1,2009-07-20,SF,,,,,Bighorn Sheep,,1,,,,,,,E1
M0008901.JPG,05-Aug-09,1:17 PM,Ok,SW-E1,2009-07-20,SF,,,,,Bighorn Sheep,,1,,,,,,,E1
