CAMERA_DIS,CAMERA,RADIUS,NCELLS,AREA,MIN,MAX,RANGE,MEAN,STD
W40 6000,W40,6000,1131439,113143900,0,28.98052979,28.98052979,3.065995724,1.802450443
W41 6000,W41,6000,1131364,113136400,0,57.87301636,57.87301636,2.937660664,1.764455025
W42 6000,W42,6000,1131380,113138000,0,10.24813843,10.24813843,2.698685826,1.547956186
W43 6000,W43,6000,1131278,113127800,0,12.37916565,12.37916565,1.956844065,1.376757451
W44 6000,W44,6000,1131291,113129100,0.002914429,19.45062256,19.44770813,3.108451755,1.627388114
W45 6000,W45,6000,1131308,113130800,0.006530762,39.50592041,39.49938965,3.533366723,1.616882118
W46 6000,W46,6000,1131245,113124500,0.000808716,39.50592041,39.50511169,3.351259881,1.883853959
W47 6000,W47,6000,1131189,113118900,0.000518799,55.77877808,55.77825928,3.276887443,1.75755897
W48 6000,W48,6000,1131143,113114300,0.017822266,17.83396912,17.81614685,2.469952065,1.389779573
W49 6000,W49,6000,1131162,113116200,0.019104004,30.4848938,30.46578979,3.715590008,1.641717738
W50 6000,W50,6000,1131227,113122700,0.008026123,30.4848938,30.47686768,3.300518847,1.574400672
W51 6000,W51,6000,1131257,113125700,0,41.66342163,41.66342163,3.190885666,1.749917006
W52 6000,W52,6000,1131286,113128600,0,41.66342163,41.66342163,3.297773115,1.991116432
W53 6000,W53,6000,1131300,113130000,0,41.46655273,41.46655273,2.992145814,1.589078513
W54 6000,W54,6000,1131354,113135400,0,41.46655273,41.46655273,3.010366423,1.889112809
W55 6000,W55,6000,1131555,113155500,1.52588E-05,23.21768188,23.21766663,3.063224827,1.958070775
W56 6000,W56,6000,1131481,113148100,0,42.83309937,42.83309937,3.347552507,1.939909393
W57 6000,W57,6000,1131480,113148000,0,26.88870239,26.88870239,3.561907682,2.192621287
W58 6000,W58,6000,1131449,113144900,0,38.92672729,38.92672729,3.159759171,2.144870642
W59 6000,W59,6000,1131510,113151000,0,42.83309937,42.83309937,3.799220881,2.127101526
W60 6000,W60,6000,1131613,113161300,0,28.19262695,28.19262695,2.462438199,1.94151782
